alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
0.02,993.35,-0.824,0.460,9.744,0.033,0.023,-0.055,36.70
-0.01,993.36,-0.862,0.455,9.764,0.033,0.021,-0.055,36.69
-0.02,993.36,-0.814,0.479,9.759,0.031,0.022,-0.057,36.69
0.02,993.35,-0.862,0.460,9.768,0.031,0.022,-0.055,36.69
0.05,993.35,-0.814,0.464,9.802,0.031,0.021,-0.056,36.69
0.02,993.35,-0.828,0.493,9.802,0.033,0.021,-0.057,36.69
-0.04,993.36,-0.867,0.436,9.740,0.033,0.022,-0.056,36.70
-0.02,993.36,-0.804,0.431,9.735,0.033,0.022,-0.057,36.70
0.00,993.36,-0.814,0.460,9.811,0.031,0.023,-0.055,36.72
-0.04,993.36,-0.785,0.445,9.740,0.029,0.022,-0.056,36.70
-0.01,993.36,-0.781,0.450,9.787,0.032,0.023,-0.055,36.70
0.00,993.36,-0.800,0.484,9.725,0.031,0.021,-0.055,36.70
-0.02,993.36,-0.824,0.464,9.735,0.032,0.023,-0.054,36.70
-0.02,993.36,-0.795,0.474,9.768,0.031,0.022,-0.055,36.69
0.01,993.36,-0.819,0.460,9.778,0.032,0.022,-0.055,36.69
0.01,993.36,-0.833,0.455,9.749,0.031,0.023,-0.056,36.70
-0.05,993.36,-0.800,0.441,9.720,0.033,0.022,-0.057,36.69
-0.01,993.36,-0.824,0.469,9.768,0.033,0.024,-0.057,36.70
-0.01,993.36,-0.809,0.450,9.787,0.031,0.022,-0.056,36.70
0.01,993.36,-0.809,0.469,9.740,0.031,0.024,-0.054,36.73
0.00,993.36,-0.838,0.455,9.783,0.033,0.023,-0.056,36.69
0.00,993.36,-0.833,0.455,9.768,0.034,0.023,-0.056,36.71
0.02,993.35,-0.819,0.469,9.768,0.031,0.022,-0.058,36.71
0.01,993.36,-0.814,0.484,9.773,0.031,0.021,-0.055,36.71
-0.07,993.36,-0.819,0.460,9.711,0.031,0.023,-0.057,36.72
0.01,993.36,-0.848,0.436,9.764,0.032,0.024,-0.056,36.69
0.00,993.36,-0.828,0.436,9.687,0.032,0.023,-0.054,36.73
-0.02,993.36,-0.809,0.407,9.754,0.031,0.023,-0.056,36.72
-0.01,993.36,-0.843,0.455,9.783,0.032,0.023,-0.055,36.72
0.06,993.35,-0.833,0.450,9.735,0.033,0.022,-0.055,36.70
0.01,993.36,-0.828,0.431,9.759,0.032,0.023,-0.056,36.68
-0.01,993.36,-0.824,0.441,9.802,0.032,0.022,-0.056,36.69
-0.01,993.36,-0.843,0.436,9.792,0.031,0.022,-0.054,36.72
0.04,993.35,-0.843,0.479,9.783,0.031,0.022,-0.057,36.71
-0.03,993.36,-0.843,0.441,9.783,0.033,0.023,-0.055,36.71
-0.02,993.36,-0.809,0.474,9.807,0.031,0.023,-0.057,36.69
0.04,993.35,-0.785,0.479,9.711,0.032,0.021,-0.056,36.73
0.03,993.35,-0.838,0.464,9.740,0.031,0.023,-0.056,36.70
0.02,993.35,-0.824,0.417,9.783,0.030,0.022,-0.056,36.72
0.03,993.35,-0.833,0.417,9.783,0.031,0.025,-0.055,36.68
-0.00,993.36,-0.852,0.445,9.730,0.031,0.022,-0.055,36.69
0.02,993.35,-0.819,0.474,9.697,0.033,0.023,-0.056,36.69
-0.02,993.36,-0.785,0.450,9.821,0.032,0.022,-0.056,36.70
0.02,993.35,-0.838,0.436,9.783,0.030,0.022,-0.058,36.72
-0.01,993.36,-0.814,0.479,9.773,0.030,0.022,-0.056,36.71
-0.03,993.36,-0.843,0.488,9.720,0.030,0.022,-0.055,36.71
-0.04,993.36,-0.848,0.460,9.716,0.033,0.022,-0.056,36.69
-0.03,993.36,-0.833,0.431,9.744,0.032,0.024,-0.055,36.69
0.01,993.36,-0.809,0.460,9.759,0.032,0.022,-0.055,36.72
